Date,Open,High,Low,Close,Adj Close,Volume
27/05/2016,122.760002,127.669998,122.5,126.959999,125.571625,137700
31/05/2016,128.320007,128.320007,123.5,123.5,122.149467,163100
1/06/2016,123.279999,126.25,123.010002,124.919998,123.553932,269700
2/06/2016,125.669998,125.699997,123.519997,124.559998,123.197868,84500
3/06/2016,124.540001,125.779999,123.459999,124.269997,122.911041,59700
6/06/2016,124.099998,127.660004,123.989998,125.959999,124.582558,118300
7/06/2016,126.470001,126.760002,123.360001,123.830002,122.475853,134800
8/06/2016,123.660004,124.949997,123.040001,124.279999,122.920929,100300
9/06/2016,124.239998,124.739998,121.25,121.779999,120.448265,95300
10/06/2016,121.209999,122.120003,119.800003,121.910004,120.576843,70600
13/06/2016,122.300003,125.940002,120.5,124.25,122.891251,122400
14/06/2016,124.489998,128.960007,123.010002,127.279999,125.888115,142800
15/06/2016,128.660004,133.960007,127.330002,132.350006,130.902695,180900
16/06/2016,131.380005,140.720001,130,140.529999,138.993256,238700
17/06/2016,140.070007,141.509995,139.130005,140.529999,138.993256,200800
20/06/2016,141.789993,143.270004,139.149994,142.410004,140.852676,105000
21/06/2016,143.119995,143.119995,139.759995,141.100006,139.557007,64800
22/06/2016,140.880005,140.880005,139,140.25,138.716293,67000
23/06/2016,140.820007,141.460007,139.440002,140.119995,138.587708,58500
24/06/2016,135.139999,141.360001,133.199997,140.589996,139.052567,129700
27/06/2016,139.190002,143.300003,138.020004,141.089996,139.547104,123700
28/06/2016,142.229996,142.559998,139.369995,140.029999,138.498688,105700
29/06/2016,141.289993,143.369995,139.059998,142.520004,140.961472,97200
30/06/2016,143.330002,147.520004,143.119995,147.470001,145.85733,123100
1/07/2016,146.949997,146.949997,144.259995,144.820007,143.236313,75600
5/07/2016,144.880005,146.830002,142.720001,145.440002,143.849533,79300
6/07/2016,145.440002,145.910004,138.809998,144.759995,143.176941,100600
7/07/2016,144.470001,145.429993,143.300003,144.289993,142.712097,41900
8/07/2016,144.449997,147.119995,144.309998,145.309998,143.720963,68500
11/07/2016,144.649994,147.649994,144.619995,145.929993,144.334167,54100
12/07/2016,145.929993,148.119995,144.100006,146.449997,144.84848,96500
13/07/2016,145.839996,148.289993,144.800003,146.899994,145.293533,72800
14/07/2016,147.419998,148.75,145.160004,146.380005,144.779266,136600
15/07/2016,146.380005,147.270004,142.820007,144.110001,142.534088,162300
18/07/2016,144.089996,144.990005,141.529999,144.690002,143.107742,128500
19/07/2016,143.860001,147.910004,143.539993,146.369995,144.769379,92000
20/07/2016,146.580002,152.259995,145.100006,148.610001,146.984879,157000
21/07/2016,147.869995,148.649994,145.5,147.059998,145.451828,71100
22/07/2016,146.990005,151.279999,146.940002,149.300003,147.667313,57900
25/07/2016,150.110001,151.580002,147.380005,148.429993,146.806824,37200
